country,doc_id,TRANSPARENCY,OVERSIGHT_AUDIT,ACCOUNTABILITY_LIABILITY,PUBLIC_PARTICIPATION,APPEALS_REMEDY,title,issuing_body,date,n_chunks
CN,cn_aisafetyframework2_2025,0.15979381443298968,0.6443298969072165,0.14432989690721648,0.15979381443298968,0.02577319587628866,人工智能安全治理框架2.0,TC260+国家计算机网络应急技术处理协调中心,2025-09-15,194
CN,cn_aiwhitepaper_2025,0.168141592920354,0.8053097345132744,0.20353982300884957,0.07079646017699115,0.0,人工智能安全治理白皮书（2025）,中国联通+华为+百度+360等,2025-07-01,113
CN,cn_algo_2022,0.45454545454545453,0.9090909090909091,0.45454545454545453,0.36363636363636365,0.2727272727272727,互联网信息服务算法推荐管理规定,CAC+MIIT+MPS+SAMR,2021-12-31,11
CN,cn_caict_aigovreport_2026,0.2328767123287671,0.9041095890410958,0.4246575342465753,0.1506849315068493,0.0,人工智能安全治理研究报告（2025年）——推进人工智能安全治理产业实践框架,中国信息通信研究院,2026-01-09,73
CN,cn_cybersecuritylaw_2016,0.16666666666666666,0.6666666666666666,0.5,0.3333333333333333,0.3333333333333333,中华人民共和国网络安全法,全国人大常委会,2016-11-07,6
CN,cn_deepsynthesis_2022,0.2222222222222222,0.5555555555555556,0.6666666666666666,0.4444444444444444,0.2222222222222222,互联网信息服务深度合成管理规定,CAC+MIIT+MPS,2022-12-11,9
CN,cn_genai_2023,0.3333333333333333,0.5555555555555556,0.4444444444444444,0.4444444444444444,0.3333333333333333,生成式人工智能服务管理暂行办法,CAC,2023-07-13,9
CN,cn_huawei_aisystem_cybersec_2024,0.1,0.475,0.3,0.075,0.0,AI系统的网络安全治理实践,华为技术有限公司,2024-09-01,40
CN,cn_labeling_2025,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.16666666666666666,人工智能生成合成内容标识办法,CAC+MIIT+MPS+NRTA,2025-03-14,6
CN,cn_pipl_2021,0.6666666666666666,0.5238095238095238,0.42857142857142855,0.09523809523809523,0.19047619047619047,中华人民共和国个人信息保护法,全国人大常委会,2021-08-20,21
US,us_doc1,0.17889908256880735,0.30275229357798167,0.22935779816513763,0.10550458715596331,0.01834862385321101,AI Risk Management Framework 1.0,NIST,2023-01-26,218
US,us_doc2,0.15132924335378323,0.32719836400818,0.12678936605316973,0.2822085889570552,0.026584867075664622,Blueprint for an AI Bill of Rights,OSTP/White House,2022-10-04,489
US,us_doc3,0.1085972850678733,0.4072398190045249,0.31221719457013575,0.27601809954751133,0.01809954751131222,OMB M-24-10: AI Governance & Risk Mgmt,OMB,2024-03-28,221
US,us_doc4,0.16872427983539096,0.27983539094650206,0.16872427983539096,0.1646090534979424,0.024691358024691357,OMB M-24-18: Responsible AI Acquisition,OMB,2024-09-24,243
US,us_doc5,0.18051575931232092,0.3638968481375358,0.10601719197707736,0.20630372492836677,0.011461318051575931,NIST AI 600-1: GenAI Profile,NIST,2024-07-01,349
US,us_doc6,0.3791208791208791,0.40796703296703296,0.3021978021978022,0.21703296703296704,0.013736263736263736,NIST AI RMF Playbook,NIST,2023-03-30,728
US,us_doc7,0.034334763948497854,0.24034334763948498,0.1072961373390558,0.2145922746781116,0.0,NIST SP 800-218 SSDF,NIST,2022-02-03,233
